rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
140000,16000,32000,default,default,2,1369698,1369698,0,30300,0.022121664775738886,0.06684813697252971,0.006315,0.009666,0.049667,793.714562,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_default_run2.csv
140000,16000,32000,default,default,3,1386945,1386945,0,13053,0.00941133210040773,0.014703965951786122,0.006426,0.009649,0.014055,93.783557,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_default_run3.csv
140000,2000,4000,default,default,1,1377027,1377027,0,22971,0.016681590121326598,0.010529148317353255,0.006334,0.009537,0.010092,307.265851,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_2000_sndbuf_default_run1.csv
140000,2000,4000,default,default,2,1399941,1399941,0,57,4.0716001602924697e-05,0.008074857802578822,0.007889,0.009703,0.013611,1.95731,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_2000_sndbuf_default_run2.csv
140000,2000,4000,default,default,3,1399338,1399338,0,660,0.0004716515952543274,0.00802294521552334,0.007851,0.009612,0.012722,1.72257,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_2000_sndbuf_default_run3.csv
140000,32000,64000,default,default,1,1399308,1399308,0,690,0.0004931008755756417,0.010223310705005616,0.006389,0.009592,0.015685,20.81227,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_32000_sndbuf_default_run1.csv
140000,32000,64000,default,default,2,1398468,1398468,0,1530,0.0010940543509039891,0.009394337614446666,0.006408,0.009593,0.015148,8.086575,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_32000_sndbuf_default_run2.csv
140000,32000,64000,default,default,3,1399485,1399485,0,84,6.002207955069186e-05,0.007229279572128319,0.006333,0.009463,0.010203999999999998,1.963089,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_32000_sndbuf_default_run3.csv
140000,4000,8000,default,default,1,1397265,1397265,0,2733,0.001955963972474799,0.008144459861944585,0.006426,0.009685,0.013574,18.997255,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_4000_sndbuf_default_run1.csv
140000,4000,8000,default,default,2,1398816,1398816,0,1182,0.0008450003431473475,0.008953758164762198,0.006278,0.00963,0.04144130000000167,26.921886,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_4000_sndbuf_default_run2.csv
140000,4000,8000,default,default,3,1398975,1398975,0,1023,0.0007312496649332547,0.007028515925588377,0.006315,0.009444,0.009888,4.005972,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_4000_sndbuf_default_run3.csv
