mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us,queue_latency_us,deadline_miss_count
freertos,pico,424,10000,4230949,10000,0,7,0
freertos,pico,425,10000,4240949,10000,0,7,0
freertos,pico,426,10000,4250949,10000,0,7,0
freertos,pico,427,10000,4260949,10000,0,7,0
freertos,pico,428,10000,4270949,10000,0,7,0
freertos,pico,429,10000,4280949,10000,0,7,0
freertos,pico,430,10000,4290949,10000,0,7,0
freertos,pico,431,10000,4300949,10000,0,7,0
freertos,pico,432,10000,4310949,10000,0,7,0
freertos,pico,433,10000,4320949,10000,0,7,0
freertos,pico,434,10000,4330949,10000,0,7,0
freertos,pico,435,10000,4340949,10000,0,7,0
freertos,pico,436,10000,4350949,10000,0,7,0
freertos,pico,437,10000,4360949,10000,0,7,0
freertos,pico,438,10000,4370949,10000,0,7,0
freertos,pico,439,10000,4380949,10000,0,7,0
freertos,pico,440,10000,4390949,10000,0,7,0
freertos,pico,441,10000,4400949,10000,0,7,0
freertos,pico,442,10000,4410949,10000,0,7,0
freertos,pico,443,10000,4420949,10000,0,7,0
freertos,pico,444,10000,4430949,10000,0,7,0
freertos,pico,445,10000,4440949,10000,0,7,0
freertos,pico,446,10000,4450949,10000,0,7,0
freertos,pico,447,10000,4460949,10000,0,7,0
freertos,pico,448,10000,4470949,10000,0,7,0
freertos,pico,449,10000,4480949,10000,0,7,0
freertos,pico,450,10000,4490949,10000,0,7,0
freertos,pico,451,10000,4500949,10000,0,7,0
freertos,pico,452,10000,4510949,10000,0,7,0
freertos,pico,453,10000,4520949,10000,0,7,0
freertos,pico,454,10000,4530949,10000,0,7,0
freertos,pico,455,10000,4540949,10000,0,7,0
freertos,pico,456,10000,4550949,10000,0,7,0
freertos,pico,457,10000,4560949,10000,0,7,0
freertos,pico,458,10000,4570949,10000,0,7,0
freertos,pico,459,10000,4580949,10000,0,7,0
freertos,pico,460,10000,4590949,10000,0,7,0
freertos,pico,461,10000,4600949,10000,0,7,0
freertos,pico,462,10000,4610949,10000,0,7,0
freertos,pico,463,10000,4620949,10000,0,7,0
freertos,pico,464,10000,4630949,10000,0,7,0
freertos,pico,465,10000,4640949,10000,0,7,0
freertos,pico,466,10000,4650949,10000,0,7,0
freertos,pico,467,10000,4660949,10000,0,7,0
freertos,pico,468,10000,4670949,10000,0,7,0
freertos,pico,469,10000,4680949,10000,0,7,0
freertos,pico,470,10000,4690949,10000,0,7,0
freertos,pico,471,10000,4700949,10000,0,7,0
